Latitude, Longitude, Data Value
85, -179, -999
85, -178, -999
85, -177, -999
85, -176, -999
85, -175, -999
85, -174, -999
85, -173, -999
85, -172, -999
85, -171, -999
85, -170, -999
85, -169, -999
85, -168, -999
85, -167, -999
85, -166, -999
85, -165, -999
85, -164, -999
85, -163, -999
85, -162, -999
85, -161, -999
85, -160, -999
85, -159, -999
85, -158, -999
85, -157, -999
85, -156, -999
85, -155, -999
85, -154, -999
85, -153, -999
85, -152, -999
85, -151, -999
85, -150, -999
85, -149, -999
85, -148, -999
85, -147, -999
85, -146, -999
85, -145, -999
85, -144, -999
85, -143, -999
85, -142, -999
85, -141, -999
85, -140, -999
85, -139, -999
85, -138, -999
85, -137, -999
85, -136, -999
85, -135, -999
85, -134, -999
85, -133, -999
85, -132, -999
85, -131, -999
85, -130, -999
85, -129, -999
85, -128, -999
85, -127, -999
85, -126, -999
85, -125, -999
85, -124, -999
85, -123, -999
85, -122, -999
85, -121, -999
85, -120, -999
85, -119, -999
85, -118, -999
85, -117, -999
85, -116, -999
85, -115, -999
85, -114, -999
85, -113, -999
85, -112, -999
85, -111, -999
85, -110, -999
85, -109, -999
85, -108, -999
85, -107, -999
85, -106, -999
85, -105, -999
85, -104, -999
85, -103, -999
85, -102, -999
85, -101, -999
85, -100, -999
85, -99, -999
85, -98, -999
85, -97, -999
85, -96, -999
85, -95, -999
85, -94, -999
85, -93, -999
85, -92, -999
85, -91, -999
85, -90, -999
85, -89, -999
85, -88, -999
85, -87, -999
85, -86, -999
85, -85, -999
85, -84, -999
85, -83, -999
85, -82, -999
85, -81, -999
85, -80, -999
85, -79, -999
85, -78, -999
85, -77, -999
85, -76, -999
85, -75, -999
85, -74, -999
85, -73, -999
85, -72, -999
85, -71, -999
85, -70, -999
85, -69, -999
85, -68, -999
85, -67, -999
85, -66, -999
85, -65, -999
85, -64, -999
85, -63, -999
85, -62, -999
85, -61, -999
85, -60, -999
85, -59, -999
85, -58, -999
85, -57, -999
85, -56, -999
85, -55, -999
85, -54, -999
85, -53, -999
85, -52, -999
85, -51, -999
85, -50, -999
85, -49, -999
85, -48, -999
85, -47, -999
85, -46, -999
85, -45, -999
85, -44, -999
85, -43, -999
85, -42, -999
85, -41, -999
85, -40, -999
85, -39, -999
85, -38, -999
85, -37, -999
85, -36, -999
85, -35, -999
85, -34, -999
85, -33, -999
85, -32, -999
85, -31, -999
85, -30, -999
85, -29, -999
85, -28, -999
85, -27, -999
85, -26, -999
85, -25, -999
85, -24, -999
85, -23, -999
85, -22, -999
85, -21, -999
85, -20, -999
85, -19, -999
85, -18, -999
85, -17, -999
85, -16, -999
85, -15, -999
85, -14, -999
85, -13, -999
85, -12, -999
85, -11, -999
85, -10, -999
85, -9, -999
85, -8, -999
85, -7, -999
85, -6, -999
85, -5, -999
85, -4, -999
85, -3, -999
84, 2, -999
84, 3, -999
84, 4, -999
84, 5, -999
84, 6, -999
84, 7, -999
84, 8, -999
84, 9, -999
84, 10, -999
84, 11, -999
84, 12, -999
84, 13, -999
84, 14, -999
84, 15, -999
84, 16, -999
84, 17, -999
84, 18, -999
84, 19, -999
84, 20, -999
84, 21, -999
84, 22, -999
84, 23, -999
84, 24, -999
84, 25, -999
84, 26, -999
84, 27, -999
84, 28, -999
84, 29, -999
84, 30, -999
84, 31, -999
84, 32, -999
84, 33, -999
84, 34, -999
84, 35, -999
84, 36, -999
84, 37, -999
84, 38, -999
84, 39, -999
84, 40, -999
84, 41, -999
84, 42, -999
84, 43, -999
84, 44, -999
84, 45, -999
84, 46, -999
84, 47, -999
84, 48, -999
84, 49, -999
84, 50, -999
84, 51, -999
84, 52, -999
84, 53, -999
84, 54, -999
84, 55, -999
84, 56, -999
84, 57, -999
84, 58, -999
84, 59, -999
84, 60, -999
84, 61, -999
84, 62, -999
84, 63, -999
84, 64, -999
84, 65, -999
84, 66, -999
84, 67, -999
84, 68, -999
84, 69, -999
84, 70, -999
84, 71, -999
84, 72, -999
84, 73, -999
84, 74, -999
84, 75, -999
84, 76, -999
84, 77, -999
84, 78, -999
84, 79, -999
84, 80, -999
84, 81, -999
84, 82, -999
84, 83, -999
84, 84, -999
84, 85, -999
84, 86, -999
84, 87, -999
84, 88, -999
84, 89, -999
84, 90, -999
84, 91, -999
84, 92, -999
84, 93, -999
84, 94, -999
84, 95, -999
84, 96, -999
84, 97, -999
84, 98, -999
84, 99, -999
84, 100, -999
84, 101, -999
84, 102, -999
84, 103, -999
84, 104, -999
84, 105, -999
84, 106, -999
84, 107, -999
84, 108, -999
84, 109, -999
84, 110, -999
84, 111, -999
84, 112, -999
84, 113, -999
84, 114, -999
84, 115, -999
84, 116, -999
84, 117, -999
84, 118, -999
84, 119, -999
84, 120, -999
84, 121, -999
84, 122, -999
84, 123, -999
84, 124, -999
84, 125, -999
84, 126, -999
84, 127, -999
84, 128, -999
84, 129, -999
84, 130, -999
84, 131, -999
84, 132, -999
84, 133, -999
84, 134, -999
84, 135, -999
84, 136, -999
84, 137, -999
84, 138, -999
84, 139, -999
84, 140, -999
84, 141, -999
84, 142, -999
84, 143, -999
84, 144, -999
84, 145, -999
84, 146, -999
84, 147, -999
84, 148, -999
84, 149, -999
84, 150, -999
84, 151, -999
84, 152, -999
84, 153, -999
84, 154, -999
84, 155, -999
84, 156, -999
84, 157, -999
84, 158, -999
84, 159, -999
84, 160, -999
84, 161, -999
84, 162, -999
84, 163, -999
84, 164, -999
84, 165, -999
84, 166, -999
84, 167, -999
84, 168, -999
84, 169, -999
84, 170, -999
84, 171, -999
84, 172, -999
84, 173, -999
84, 174, -999
84, 175, -999
84, 176, -999
84, 177, -999
84, 178, -999
84, 179, -999
84, 180, -999
84, -179, -999
84, -178, -999
84, -177, -999
84, -176, -999
84, -175, -999
84, -174, -999
84, -173, -999
84, -172, -999
84, -171, -999
84, -170, -999
84, -169, -999
84, -168, -999
84, -167, -999
84, -166, -999
84, -165, -999
84, -164, -999
84, -163, -999
84, -162, -999
84, -161, -999
84, -160, -999
84, -159, -999
84, -158, -999
84, -157, -999
84, -156, -999
84, -155, -999
84, -154, -999
84, -153, -999
84, -152, -999
84, -151, -999
84, -150, -999
84, -149, -999
84, -148, -999
84, -147, -999
84, -146, -999
84, -145, -999
84, -144, -999
84, -143, -999
84, -142, -999
84, -141, -999
84, -140, -999
84, -139, -999
84, -138, -999
84, -137, -999
84, -136, -999
84, -135, -999
84, -134, -999
84, -133, -999
84, -132, -999
84, -131, -999
84, -130, -999
84, -129, -999
84, -128, -999
84, -127, -999
84, -126, -999
84, -125, -999
84, -124, -999
84, -123, -999
84, -122, -999
84, -121, -999
84, -120, -999
84, -119, -999
84, -118, -999
84, -117, -999
84, -116, -999
84, -115, -999
84, -114, -999
84, -113, -999
84, -112, -999
84, -111, -999
84, -110, -999
84, -109, -999
84, -108, -999
84, -107, -999
84, -106, -999
84, -105, -999
84, -104, -999
84, -103, -999
84, -102, -999
84, -101, -999
84, -100, -999
84, -99, -999
84, -98, -999
84, -97, -999
84, -96, -999
84, -95, -999
84, -94, -999
84, -93, -999
84, -92, -999
84, -91, -999
84, -90, -999
84, -89, -999
84, -88, -999
84, -87, -999
84, -86, -999
84, -85, -999
84, -84, -999
84, -83, -999
84, -82, -999
84, -81, -999
84, -80, -999
84, -79, -999
84, -78, -999
84, -77, -999
84, -76, -999
84, -75, -999
84, -74, -999
84, -73, -999
84, -72, -999
84, -71, -999
84, -70, -999
84, -69, -999
84, -68, -999
84, -67, -999
84, -66, -999
84, -65, -999
84, -64, -999
84, -63, -999
84, -62, -999
84, -61, -999
84, -60, -999
84, -59, -999
84, -58, -999
84, -57, -999
84, -56, -999
84, -55, -999
84, -54, -999
84, -53, -999
84, -52, -999
84, -51, -999
84, -50, -999
84, -49, -999
84, -48, -999
84, -47, -999
84, -46, -999
84, -45, -999
84, -44, -999
84, -43, -999
84, -42, -999
84, -41, -999
84, -40, -999
84, -39, -999
84, -38, -999
84, -37, -999
84, -36, -999
84, -35, -999
84, -34, -999
84, -33, -999
84, -32, -999
84, -31, -999
84, -30, -999
84, -29, -999
84, -28, -999
84, -27, -999
84, -26, -999
84, -25, -999
84, -24, -999
84, -23, -999
84, -22, -999
84, -21, -999
84, -20, -999
84, -19, -999
84, -18, -999
84, -17, -999
84, -16, -999
84, -15, -999
84, -14, -999
84, -13, -999
84, -12, -999
84, -11, -999
84, -10, -999
84, -9, -999
84, -8, -999
84, -7, -999
84, -6, -999
84, -5, -999
84, -4, -999
84, -3, -999
83, 2, -999
83, 3, -999
83, 4, -999
83, 5, -999
83, 6, -999
83, 7, -999
83, 8, -999
83, 9, -999
83, 10, -999
83, 11, -999
83, 12, -999
83, 13, -999
83, 14, -999
83, 15, -999
83, 16, -999
83, 17, -999
83, 18, -999
83, 19, -999
83, 20, -999
83, 21, -999
83, 22, -999
83, 23, -999
83, 24, -999
83, 25, -999
83, 26, -999
83, 27, -999
83, 28, -999
83, 29, -999
83, 30, -999
83, 31, -999
83, 32, -999
83, 33, -999
83, 34, -999
83, 35, -999
83, 36, -999
83, 37, -999
83, 38, -999
83, 39, -999
83, 40, -999
83, 41, -999
83, 42, -999
83, 43, -999
83, 44, -999
83, 45, -999
83, 46, -999
83, 47, -999
83, 48, -999
83, 49, -999
83, 50, -999
83, 51, -999
83, 52, -999
83, 53, -999
83, 54, -999
83, 55, -999
83, 56, -999
83, 57, -999
83, 58, -999
83, 59, -999
83, 60, -999
83, 61, -999
83, 62, -999
83, 63, -999
83, 64, -999
83, 65, -999
83, 66, -999
83, 67, -999
83, 68, -999
83, 69, -999
83, 70, -999
83, 71, -999
83, 72, -999
83, 73, -999
83, 74, -999
83, 75, -999
83, 76, -999
83, 77, -999
83, 78, -999
83, 79, -999
83, 80, -999
83, 81, -999
83, 82, -999
83, 83, -999
83, 84, -999
83, 85, -999
83, 86, -999
83, 87, -999
83, 88, -999
83, 89, -999
83, 90, -999
83, 91, -999
83, 92, -999
83, 93, -999
83, 94, -999
83, 95, -999
83, 96, -999
83, 97, -999
83, 98, -999
83, 99, -999
83, 100, -999
83, 101, -999
83, 102, -999
83, 103, -999
83, 104, -999
83, 105, -999
83, 106, -999
83, 107, -999
83, 108, -999
83, 109, -999
83, 110, -999
83, 111, -999
83, 112, -999
83, 113, -999
83, 114, -999
83, 115, -999
83, 116, -999
83, 117, -999
83, 118, -999
83, 119, -999
83, 120, -999
83, 121, -999
83, 122, -999
83, 123, -999
83, 124, -999
83, 125, -999
83, 126, -999
83, 127, -999
83, 128, -999
83, 129, -999
83, 130, -999
83, 131, -999
83, 132, -999
83, 133, -999
83, 134, -999
83, 135, -999
83, 136, -999
83, 137, -999
83, 138, -999
83, 139, -999
83, 140, -999
83, 141, -999
83, 142, -999
83, 143, -999
83, 144, -999
83, 145, -999
83, 146, -999
83, 147, -999
83, 148, -999
83, 149, -999
83, 150, -999
83, 151, -999
83, 152, -999
83, 153, -999
83, 154, -999
83, 155, -999
83, 156, -999
83, 157, -999
83, 158, -999
83, 159, -999
83, 160, -999
83, 161, -999
83, 162, -999
83, 163, -999
83, 164, -999
83, 165, -999
83, 166, -999
83, 167, -999
83, 168, -999
83, 169, -999
83, 170, -999
83, 171, -999
83, 172, -999
83, 173, -999
83, 174, -999
83, 175, -999
83, 176, -999
83, 177, -999
83, 178, -999
83, 179, -999
83, 180, -999
83, -179, -999
83, -178, -999
83, -177, -999
83, -176, -999
83, -175, -999
83, -174, -999
83, -173, -999
83, -172, -999
83, -171, -999
83, -170, -999
83, -169, -999
83, -168, -999
83, -167, -999
83, -166, -999
83, -165, -999
83, -164, -999
83, -163, -999
83, -162, -999
83, -161, -999
83, -160, -999
83, -159, -999
83, -158, -999
83, -157, -999
83, -156, -999
83, -155, -999
83, -154, -999
83, -153, -999
83, -152, -999
83, -151, -999
83, -150, -999
83, -149, -999
83, -148, -999
83, -147, -999
83, -146, -999
83, -145, -999
83, -144, -999
83, -143, -999
83, -142, -999
83, -141, -999
83, -140, -999
83, -139, -999
83, -138, -999
83, -137, -999
83, -136, -999
83, -135, -999
83, -134, -999
83, -133, -999
83, -132, -999
83, -131, -999
83, -130, -999
83, -129, -999
83, -128, -999
83, -127, -999
83, -126, -999
83, -125, -999
83, -124, -999
83, -123, -999
83, -122, -999
83, -121, -999
83, -120, -999
83, -119, -999
83, -118, -999
83, -117, -999
83, -116, -999
83, -115, -999
83, -114, -999
83, -113, -999
83, -112, -999
83, -111, -999
83, -110, -999
83, -109, -999
83, -108, -999
83, -107, -999
83, -106, -999
83, -105, -999
83, -104, -999
83, -103, -999
83, -102, -999
83, -101, -999
83, -100, -999
83, -99, -999
83, -98, -999
83, -97, -999
83, -96, -999
83, -95, -999
83, -94, -999
83, -93, -999
83, -92, -999
83, -91, -999
83, -90, -999
83, -89, -999
83, -88, -999
83, -87, -999
83, -86, -999
83, -85, -999
83, -84, -999
83, -83, -999
83, -82, -999
83, -81, -999
83, -80, -999
83, -79, -999
83, -78, -999
83, -77, -999
83, -76, -999
83, -75, -999
83, -74, -999
83, -73, -999
83, -72, -999
83, -71, -999
83, -70, -999
83, -69, -999
83, -68, -999
83, -67, -999
83, -66, -999
83, -65, -999
83, -64, -999
83, -63, -999
83, -62, -999
83, -61, -999
83, -60, -999
83, -59, -999
83, -58, -999
83, -57, -999
83, -56, -999
83, -55, -999
83, -54, -999
83, -53, -999
83, -52, -999
83, -51, -999
83, -50, -999
83, -49, -999
83, -48, -999
83, -47, -999
83, -46, -999
83, -45, -999
83, -44, -999
83, -43, -999
83, -42, -999
83, -41, -999
83, -40, -999
83, -39, -999
83, -38, -999
83, -37, -999
83, -36, -999
83, -35, -999
83, -34, -999
83, -33, -999
83, -32, -999
83, -31, -999
83, -30, -999
83, -29, -999
83, -28, -999
83, -27, -999
83, -26, -999
83, -25, -999
83, -24, -999
83, -23, -999
83, -22, -999
83, -21, -999
83, -20, -999
83, -19, -999
83, -18, -999
83, -17, -999
83, -16, -999
83, -15, -999
83, -14, -999
83, -13, -999
83, -12, -999
83, -11, -999
83, -10, -999
83, -9, -999
83, -8, -999
83, -7, -999
83, -6, -999
83, -5, -999
83, -4, -999
83, -3, -999
82, 2, 5.43547
82, 3, 9.39912
82, 4, 8.66421
82, 5, 3.49475
82, 6, -5.41938
82, 7, -15.6581
82, 8, -23.5912
82, 9, -29.7043
82, 10, -33.1431
82, 11, -34.4461
82, 12, -34.4138
82, 13, -33.1521
82, 14, -30.7163
82, 15, -26.6854
82, 16, -21.0059
82, 17, -14.0286
82, 18, -6.20378
82, 19, 1.80567
82, 20, 9.542
82, 21, 16.4811
82, 22, 22.6585
82, 23, 27.9945
82, 24, 32.7937
82, 25, 37.2541
82, 26, 41.444
82, 27, 45.4646
82, 28, 49.3681
82, 29, 53.0589
82, 30, 56.353
82, 31, 59.1962
82, 32, 61.7288
82, 33, 63.942
82, 34, 65.7508
82, 35, 66.8652
82, 36, 67.061
82, 37, 68.2322
82, 38, 38.741
82, 39, -26.1
82, 40, -26.1
82, 41, -6.49245
82, 42, 0.33525
82, 43, 7.05674
82, 44, 12.8111
82, 45, 17.8284
82, 46, 21.0744
82, 47, 23.3646
82, 48, 25.0354
82, 49, 26.3429
82, 50, 27.7492
82, 51, 28.5724
82, 52, 29.369
82, 53, 30.0909
82, 54, 30.7001
82, 55, 31.1791
82, 56, 31.532
82, 57, 32.9897
82, 58, 32.2
82, 59, 32.2
82, 60, 32.2
82, 61, -999
82, 62, -999
82, 63, -999
82, 64, -999
82, 65, -999
82, 66, -999
82, 67, -999
82, 68, -999
82, 69, -999
82, 70, -999
82, 71, -999
82, 72, -999
82, 73, -999
82, 74, -999
82, 75, -999
82, 76, -999
82, 77, -999
82, 78, -999
82, 79, -999
82, 80, -999
82, 81, -999
82, 82, -999
82, 83, -999
82, 84, -999
82, 85, -999
82, 86, -999
82, 87, -999
82, 88, -999
82, 89, -999
82, 90, -999
82, 91, -999
82, 92, -999
82, 93, -999
82, 94, -999
82, 95, -999
82, 96, -999
82, 97, -999
82, 98, -999
82, 99, -999
82, 100, -999
82, 101, -999
82, 102, -999
82, 103, -999
82, 104, -999
82, 105, -999
82, 106, -999
82, 107, -999
82, 108, -999
82, 109, -999
82, 110, -999
82, 111, -999
82, 112, -999
82, 113, -999
82, 114, -999
82, 115, -999
82, 116, -999
82, 117, -999
82, 118, -999
82, 119, -999
82, 120, -999
82, 121, -999
82, 122, -999
82, 123, -999
82, 124, -999
82, 125, -999
82, 126, -999
82, 127, -999
82, 128, -999
82, 129, -999
82, 130, -999
82, 131, -999
82, 132, -999
82, 133, -999
82, 134, -999
82, 135, -999
82, 136, -999
82, 137, -999
82, 138, -999
82, 139, -999
82, 140, -999
82, 141, -999
82, 142, -999
82, 143, -999
82, 144, -999
82, 145, -999
82, 146, -999
82, 147, -999
82, 148, -999
82, 149, -999
82, 150, -999
82, 151, -999
82, 152, -999
82, 153, -999
82, 154, -999
82, 155, -999
82, 156, -999
82, 157, -999
82, 158, -999
82, 159, -999
82, 160, -999
82, 161, -999
82, 162, -999
82, 163, -999
82, 164, -999
82, 165, -999
82, 166, -999
82, 167, -999
82, 168, -999
82, 169, -999
82, 170, -999
82, 171, -999
82, 172, -999
82, 173, -999
82, 174, -999
82, 175, -999
82, 176, -999
82, 177, -999
82, 178, -999
82, 179, -999
82, 180, -999
82, -179, -999
82, -178, -999
82, -177, -999
82, -176, -999
82, -175, -999
82, -174, -999
82, -173, -999
82, -172, -999
82, -171, -999
82, -170, -999
82, -169, -999
82, -168, -999
82, -167, -999
82, -166, -999
82, -165, -999
82, -164, -999
82, -163, -999
82, -162, -999
82, -161, -999
82, -160, -999
82, -159, -999
82, -158, -999
82, -157, -999
82, -156, -999
82, -155, -999
82, -154, -999
82, -153, -999
82, -152, -999
82, -151, -999
82, -150, -999
82, -149, -999
82, -148, -999
82, -147, -999
82, -146, -999
82, -145, -999
82, -144, -999
82, -143, -999
82, -142, -999
82, -141, -999
82, -140, -999
82, -139, -999
82, -138, -999
82, -137, -999
82, -136, -999
82, -135, -999
82, -134, -999
82, -133, -999
82, -132, -999
82, -131, -999
82, -130, -999
82, -129, -999
82, -128, -999
82, -127, -999
82, -126, -999
82, -125, -999
82, -124, -999
82, -123, -999
82, -122, -999
82, -121, -999
82, -120, -999
82, -119, -999
82, -118, -999
82, -117, -999
82, -116, -999
82, -115, -999
82, -114, -999
82, -113, -999
82, -112, -999
82, -111, -999
82, -110, -999
82, -109, -999
82, -108, -999
82, -107, -999
82, -106, -999
82, -105, -999
82, -104, -999
82, -103, -999
82, -102, -999
82, -101, -999
82, -100, -999
82, -99, -999
82, -98, -999
82, -97, -999
82, -96, -999
82, -95, -999
82, -94, -999
82, -93, -999
82, -92, -999
82, -91, -999
82, -90, -999
82, -89, -999
82, -88, -999
82, -87, -999
82, -86, -999
82, -85, -999
82, -84, -999
82, -83, -999
82, -82, -999
82, -81, -999
82, -80, -999
82, -79, -999
82, -78, -999
82, -77, -999
82, -76, -999
82, -75, -999
82, -74, -999
82, -73, -999
82, -72, -999
